weekend_holiday_flag;rain_flag;hour;p;n;average;var;std
0;0;0;0.021450107437346235;6.048817983045965;275.94594594594594;12864.54842951059;113.42199270648788
0;0;1;0.03204625804707258;5.331890737509434;161.04918032786884;5025.522171459286;70.890917411607
0;0;2;0.044738767914916544;4.455890322595913;95.14207650273224;2126.613694048792;46.11522193428968
0;0;3;0.059494187914532475;3.662030322136977;57.89071038251366;973.0481650691271;31.193719962023238
0;0;4;0.08239836629898135;3.618399098299489;40.295081967213115;489.02768073098633;22.113970261601292
0;0;5;0.13972802750386776;7.443947605832039;45.830601092896174;327.99862641464364;18.110732354453358
0;0;6;0.17361256752690005;17.881301356894827;85.11413043478261;490.25327859168243;22.141663862313564
0;0;7;0.02617568561403905;9.90574100695014;368.5271739130435;14078.98839201323;118.65491305467815
0;0;8;0.015341594817777597;13.415596814535425;861.0434782608696;56124.76984877127;236.90666906773913
0;0;9;0.02253881593695013;17.397909900493485;754.5108695652174;33476.06509924385;182.9646553278634
0;0;10;0.055541619871139;22.69761455335562;385.9619565217391;6949.0583353024585;83.36101208180271
0;0;11;0.07820486369023345;29.639205106995316;349.3551912568306;4467.179850100033;66.83696469843639
0;0;12;0.07446881978140506;30.29672392224215;376.5409836065574;5056.357609961479;71.10806993556695
0;0;13;0.056588888114863636;29.27741039228082;488.09289617486337;8625.242736420914;92.8721849447988
0;0;14;0.03143999223567349;24.467096521495108;753.7486338797814;23974.199110155572;154.83603944222926
0;0;15;0.02062989791316551;16.498505792689034;783.2391304347826;37966.2145557656;194.84920978994396
0;0;16;0.03628543977599524;23.752839414347726;630.8579234972677;17385.97981426737;131.85590549636893
0;0;17;0.033145966175923226;22.6049523554948;659.3770491803278;19893.13105795933;141.04301137581874
0;0;18;0.013987892959526967;12.258151780623537;864.0819672131148;61773.56158738691;248.54287675849193
0;0;19;0.0143350591525075;12.663133268844161;870.7049180327868;60739.541341933174;246.45393350874556
0;0;20;0.018518756878622984;14.157794362868959;750.3532608695652;40518.554554584116;201.29221185774705
0;0;21;0.027249512322103632;16.420887039847063;586.1912568306011;21511.99074322912;146.66966538186796
0;0;22;0.028349152894787663;11.64069969453033;398.9782608695652;14073.727788279775;118.6327433227428
0;0;23;0.027116105892198403;9.376832445790772;336.42622950819674;12406.87843769596;111.38616807169532
0;1;0;0.02075639059477637;4.638860520301229;218.85185185185185;10543.82990397805;102.68315297057278
0;1;1;0.036644941754691095;4.852774139545404;127.57407407407408;3481.3556241426613;59.00301368695214
0;1;2;0.048298800106668954;3.810946250280728;75.0925925925926;1554.750685871056;39.43032698153866
0;1;3;0.06891853224509817;3.466597398036088;46.833333333333336;679.5462962962964;26.06810879784524
0;1;4;0.1030222536476299;3.8221145139813593;33.27777777777778;323.01543209876536;17.97263008295573
0;1;5;0.18628318008609593;8.996052263555363;39.2962962962963;210.9492455418381;14.52409190076399
0;1;6;0.14186310707185457;12.233327817309283;74.0;521.6296296296297;22.839212543991742
0;1;7;0.024820304255438692;7.407012476897065;291.01851851851853;11725.01817558299;108.28212306555035
0;1;8;0.010418162870525936;7.700727717487992;731.4629629629629;70210.35973936899;264.97237542689044
0;1;9;0.010482609647414896;6.739724988349327;636.2037037037037;60691.34739369;246.35613934645508
0;1;10;0.01804081958556348;5.318432053932109;289.48148148148147;16045.916323731139;126.67247658323863
0;1;11;0.017920476832385117;4.558490932420547;249.8148148148148;13940.18792866941;118.06857299327967
0;1;12;0.01563386601756472;4.401712803380171;277.14814814814815;17727.422496570645;133.1443671229491
0;1;13;0.012486663595259252;4.681762405591806;370.25925925925924;29652.37722908093;172.1986562929018
0;1;14;0.00856423693902374;4.995928609726562;578.3518518518518;67531.042866941;259.86735629343866
0;1;15;0.008056940766002323;4.545977052481526;559.6851851851852;69466.2157064472;263.564443175568
0;1;16;0.011331437536919266;5.275811095275332;460.31481481481484;40622.80829903978;201.5510066931936
0;1;17;0.010548524463248821;5.374516954368012;504.1296296296296;47791.48319615913;218.61263274604954
0;1;18;0.005992596864244941;3.9652261280943426;657.7222222222222;109755.79320987652;331.2941188881513
0;1;19;0.0061979433582678494;3.8844762622197906;622.8518518518518;100493.31138545954;317.0068002195845
0;1;20;0.008467608081495959;4.49389609242124;526.2222222222222;62145.32098765432;249.28963273199773
0;1;21;0.012706636455994945;5.2207618706801515;405.64814814814815;31924.116941015087;178.67321271252467
0;1;22;0.017864465939189125;5.204192315631589;286.1111111111111;16015.654320987655;126.55297041550489
0;1;23;0.024597035796211517;5.778032165991235;229.12962962962962;9315.335048010973;96.51598338104924
1;0;0;0.030894562646929868;11.143099069804506;349.53846153846155;11313.915187376726;106.36688952572001
1;0;1;0.03075030130474403;10.365077700811582;326.7073170731707;10624.524092801903;103.0753321255959
1;0;2;0.03364150399375483;10.11586960475825;290.58024691358025;8637.55220240817;92.93843232166212
1;0;3;0.04546410707450332;10.07829484485371;211.59756097560975;4654.167311124331;68.22145784959693
1;0;4;0.06930781729822892;11.134948066899405;149.52439024390245;2157.3957465794174;46.447774398558835
1;0;5;0.10854272834169082;14.173016160192825;116.40243902439025;1072.4112135633552;32.74769020195707
1;0;6;0.14911929853652225;17.063646847317592;97.36585365853658;652.9393218322427;25.552677390681446
1;0;7;0.17850164709249386;13.866677435542456;63.81707317073171;357.5153182629387;18.908075477502692
1;0;8;0.09186731818510341;9.618900117290908;95.08536585365853;1035.0292980368827;32.17187122373958
1;0;9;0.03948462991031143;6.428350419439555;156.3780487804878;3960.4790303390837;62.932336921006545
1;0;10;0.04237853526823327;9.92475847820728;224.26829268292684;5292.025580011898;72.74630973466556
1;0;11;0.04645007564130635;14.577598941322531;299.2560975609756;6442.531975014872;80.26538466247372
1;0;12;0.04046431323487961;15.046719520952056;356.8048780487805;8817.766805472933;93.90296483856584
1;0;13;0.032955242746081775;14.723488579325029;432.0487804878049;13110.168352171324;114.4996434587083
1;0;14;0.03409598411908591;15.587767908424729;441.5853658536585;12951.242712671028;113.80352680242835
1;0;15;0.04721417638869428;16.698428422674333;336.9756097560976;7137.170136823321;84.4817739919287
1;0;16;0.04330579772520613;17.093466017903882;377.6219512195122;8719.893664485424;93.3803708735697
1;0;17;0.031276666128151276;13.665055609275116;423.2439024390244;13532.25758477097;116.32823210541356
1;0;18;0.02796015180832869;12.204177504045028;424.280487804878;15174.470107079123;123.1846991597541
1;0;19;0.027239989456916004;13.120329276714243;468.5365853658537;17200.321832242713;131.14999745422304
1;0;20;0.0227244283342847;11.06381267045632;475.8048780487805;20938.03509815586;144.6998102906699
1;0;21;0.03180913403990928;13.653323074977118;415.5731707317073;13064.586109458656;114.30042042555512
1;0;22;0.033356498686285534;11.060932157648233;320.5365853658537;9609.419393218323;98.02764606588451
1;0;23;0.036209267999623804;10.540574025861881;280.5609756097561;7748.319452706722;88.0245389235679
1;1;0;0.02283432785675255;6.338547912309539;271.25;11879.044642857143;108.99103010274351
1;1;1;0.030493355491213944;8.568544962106976;272.42857142857144;8934.030612244898;94.52000112275125
1;1;2;0.04238833512539594;10.541307720611941;238.14285714285714;5618.122448979592;74.95413563626488
1;1;3;0.04751769850415346;8.848041825668021;177.35714285714286;3732.4438775510203;61.09373026384148
1;1;4;0.060964552040276;7.922866671869009;122.03571428571429;2001.7487244897961;44.740906612291575
1;1;5;0.07492300157701237;8.044151527033957;99.32142857142857;1325.6466836734694;36.409431246223406
1;1;6;0.10431721417933855;9.43796185116271;81.03571428571429;776.8201530612243;27.87149355634219
1;1;7;0.07864439896578153;4.066664229106299;47.642857142857146;605.8010204081633;24.613025421677914
1;1;8;0.052075700825579524;4.098659834190994;74.60714285714286;1432.6670918367347;37.850589055346745
1;1;9;0.02349730560967653;3.1547937563543633;131.10714285714286;5579.667091836735;74.69716923576647
1;1;10;0.02312260674483415;4.367945026946789;184.53571428571428;7980.748724489796;89.33503637705532
1;1;11;0.018449252415614542;4.517758872254458;240.35714285714286;13028.01530612245;114.14033163664126
1;1;12;0.015504635192809707;4.630151557472078;294.0;18962.071428571428;137.7028374020355
1;1;13;0.013967083278076293;4.968347787081878;350.75;25112.616071428572;158.46960614398137
1;1;14;0.012522867478301211;4.575821337545795;360.82142857142856;28813.003826530614;169.74393605230972
1;1;15;0.015985124397106826;4.33097959125622;266.60714285714283;16678.452806122452;129.14508432814023
1;1;16;0.015372710444755303;4.652033044130912;297.9642857142857;19382.677295918365;139.22168400043998
1;1;17;0.012784593108471836;4.1602374795066845;321.25;25127.901785714286;158.51782797437733
1;1;18;0.012019141931763948;3.7899438397366705;311.5357142857143;25919.963010204076;160.99677950258533
1;1;19;0.013637402559107668;5.063261370756776;366.2142857142857;26853.668367346934;163.87088932249966
1;1;20;0.013609934297600676;4.627656855352038;335.39285714285717;24643.238520408162;156.981650266546
1;1;21;0.01405325913928694;4.140152514006239;290.4642857142857;20668.820153061224;143.7665474060681
1;1;22;0.025773718181141183;5.699287107918752;215.42857142857142;8358.45918367347;91.42460928914856
1;1;23;0.023372072923157322;4.436710497870512;185.39285714285714;7932.238520408164;89.06311537560408
